country,state,district,num_donors,total_amount,avg_amount
INDIA,ANDAMAN & NICOBAR ISLANDS,NICOBAR,3,3050,1017
INDIA,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,2,200,100
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,10,4100,410
INDIA,ANDHRA PRADESH,ADILABAD,25,26418,1057
INDIA,ANDHRA PRADESH,ANANTAPUR,51,50806,996
INDIA,ANDHRA PRADESH,CHITTOOR,50,29895,598
INDIA,ANDHRA PRADESH,EAST GODAVARI,78,98716,1266
INDIA,ANDHRA PRADESH,GUNTUR,86,139842,1626
INDIA,ANDHRA PRADESH,HYDERABAD,1842,2929135,1590
INDIA,ANDHRA PRADESH,KARIMNAGAR,49,48777,995
INDIA,ANDHRA PRADESH,KHAMMAM,36,128818,3578
INDIA,ANDHRA PRADESH,KRISHNA,113,144676,1280
INDIA,ANDHRA PRADESH,KURNOOL,39,47592,1220
INDIA,ANDHRA PRADESH,MAHBUBNAGAR,21,27990,1333
INDIA,ANDHRA PRADESH,MEDAK,49,25184,514
INDIA,ANDHRA PRADESH,NALGONDA,30,12307,410
INDIA,ANDHRA PRADESH,NIZAMABAD,15,13158,877
INDIA,ANDHRA PRADESH,PRAKASAM,44,28960,658
INDIA,ANDHRA PRADESH,RANGAREDDY,453,924416,2041
INDIA,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,38,25690,676
INDIA,ANDHRA PRADESH,SRIKAKULAM,35,25844,738
INDIA,ANDHRA PRADESH,VISAKHAPATNAM,220,399039,1814
INDIA,ANDHRA PRADESH,VIZIANAGARAM,23,8688,378
INDIA,ANDHRA PRADESH,WARANGAL,44,31937,726
INDIA,ANDHRA PRADESH,WEST GODAVARI,45,70267,1561
INDIA,ANDHRA PRADESH,Y. S. R.,37,30441,823
INDIA,ARUNACHAL PRADESH,CHANGLANG,1,1001,1001
INDIA,ARUNACHAL PRADESH,EAST SIANG,3,5110,1703
INDIA,ARUNACHAL PRADESH,PAPUM PARE,9,3161,351
INDIA,ARUNACHAL PRADESH,TAWANG,1,2500,2500
INDIA,ARUNACHAL PRADESH,TIRAP,1,501,501
INDIA,ARUNACHAL PRADESH,WEST KAMENG,2,551,276
INDIA,ARUNACHAL PRADESH,WEST SIANG,1,1000,1000
INDIA,ASSAM,BAKSA,1,500,500
INDIA,ASSAM,BARPETA,4,310,78
INDIA,ASSAM,BONGAIGAON,8,3703,463
INDIA,ASSAM,CACHAR,20,22658,1133
INDIA,ASSAM,CHIRANG,4,1411,353
INDIA,ASSAM,DARRANGGF,2,200,100
INDIA,ASSAM,DHEMAJI,2,710,355
INDIA,ASSAM,DHUBRI,5,2520,504
INDIA,ASSAM,DIBRUGARH,40,46561,1164
INDIA,ASSAM,DIMA HASAO,3,900,300
INDIA,ASSAM,GOALPARA,6,1071,179
INDIA,ASSAM,GOLAGHAT,5,601,120
INDIA,ASSAM,HAILAKANDI,4,1601,400
INDIA,ASSAM,JORHAT,10,5420,542
INDIA,ASSAM,KAMRUP,117,79614,680
INDIA,ASSAM,KAMRUP METROPOLITAN,73,51724,709
INDIA,ASSAM,KARBI ANGLONG,4,400,100
INDIA,ASSAM,KARIMGANJ,7,3425,489
INDIA,ASSAM,KOKRAJHAR,6,1661,277
INDIA,ASSAM,LAKHIMPUR,14,2406,172
INDIA,ASSAM,MORIGAON,4,2250,563
INDIA,ASSAM,NAGAON,18,5723,318
INDIA,ASSAM,NALBARI,3,1700,567
INDIA,ASSAM,SIVASAGAR,20,8821,441
INDIA,ASSAM,SONITPUR,19,5543,292
INDIA,ASSAM,TINSUKIA,24,28664,1194
INDIA,BIHAR,ARARIA,9,1924,214
INDIA,BIHAR,ARWAL,5,162,32
INDIA,BIHAR,AURANGABAD,33,24964,756
INDIA,BIHAR,BANKA,20,21163,1058
INDIA,BIHAR,BEGUSARAI,66,33805,512
INDIA,BIHAR,BHAGALPUR,75,23574,314
INDIA,BIHAR,BHOJPUR,50,27893,558
INDIA,BIHAR,BUXAR,25,13879,555
INDIA,BIHAR,DARBHANGA,53,18160,343
INDIA,BIHAR,GAYA,75,67922,906
INDIA,BIHAR,GOPALGANJ,25,13350,534
INDIA,BIHAR,JAMUI,12,7422,619
INDIA,BIHAR,JEHANABAD,13,8054,620
INDIA,BIHAR,KAIMUR (BHABUA),2,1100,550
INDIA,BIHAR,KATIHAR,11,5981,544
INDIA,BIHAR,KHAGARIA,19,2096,110
INDIA,BIHAR,KISHANGANJ,8,1662,208
INDIA,BIHAR,LAKHISARAI,20,4358,218
INDIA,BIHAR,MADHEPURA,13,2558,197
INDIA,BIHAR,MADHUBANI,45,26010,578
INDIA,BIHAR,MUNGER,63,33625,534
INDIA,BIHAR,MUZAFFARPUR,110,59480,541
INDIA,BIHAR,NALANDA,60,29345,489
INDIA,BIHAR,NAWADA,19,4954,261
INDIA,BIHAR,PASHCHIM CHAMPARAN,38,22274,586
INDIA,BIHAR,PATNA,456,451944,991
INDIA,BIHAR,PURNIA,37,21257,575
INDIA,BIHAR,PURVI CHAMPARAN,40,18030,451
INDIA,BIHAR,ROHTAS,51,47324,928
INDIA,BIHAR,SAHARSA,21,4383,209
INDIA,BIHAR,SAMASTIPUR,36,13310,370
INDIA,BIHAR,SARAN,29,13295,458
INDIA,BIHAR,SHEIKHPURA,15,3874,258
INDIA,BIHAR,SITAMARHI,27,9889,366
INDIA,BIHAR,SIWAN,47,15572,331
INDIA,BIHAR,SUPAUL,32,16701,522
INDIA,BIHAR,VAISHALI,40,12464,312
INDIA,CHANDIGARH,CHANDIGARH,392,833643,2127
INDIA,CHHATTISGARH,BALOD,7,3931,562
INDIA,CHHATTISGARH,BASTAR,12,8610,718
INDIA,CHHATTISGARH,BIJAPUR,1,100,100
INDIA,CHHATTISGARH,BILASPUR,104,81291,782
INDIA,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,5,1561,312
INDIA,CHHATTISGARH,DHAMTARI,11,4156,378
INDIA,CHHATTISGARH,DURG,197,151355,768
INDIA,CHHATTISGARH,JANJGIR-CHAMPA,26,8465,326
INDIA,CHHATTISGARH,JASHPUR,2,200,100
INDIA,CHHATTISGARH,KABEERDHAM,11,5505,500
INDIA,CHHATTISGARH,KORBA,51,17945,352
INDIA,CHHATTISGARH,KORIYA,6,320,53
INDIA,CHHATTISGARH,MAHASAMUND,9,3700,411
INDIA,CHHATTISGARH,RAIGARH,44,124784,2836
INDIA,CHHATTISGARH,RAIPUR,199,170343,856
INDIA,CHHATTISGARH,RAJNANDGAON,15,6327,422
INDIA,CHHATTISGARH,SURGUJA,21,10333,492
INDIA,CHHATTISGARH,UTTAR BASTAR KANKER,1,50,50
